PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50 Qualifier,EC50,EC50 Standard Error,S0,SInf,Hill Slope,Num. Points,Max. Activity,Activity at 0.10uM,Activity at 0.19uM,Activity at 0.38uM,Activity at 0.75uM,Activity at 0.80uM,Activity at 1.50uM,Activity at 1.60uM,Activity at 3.00uM,Activity at 6.00uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'<', '=', '>'",the concentration whereupon perceived activity reaches 50% of the maximum,the standard error for the calculated EC50 value,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the slope at EC50,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,0.1,0.19,0.38,0.75,0.8,1.5,1.6,3,6
99,24786147,16188954,COC1=CC(=C(C=C1)C(=O)C2CCCN(C2)CC3=CN=C(S3)N4CCOCC4)OC,Active,60,,,=,0.991,1.153,-19.4,-100,1.65,14,-98.5,-21.4,-19.5,-41.3,-47.9,,-69.1,,-93.3,-98.5
100,24799420,16191091,COC1=CC=CC(=C1)CC2(CCCN(C2)CC3=CC=C(C=C3)C4=CC=CO4)CO,Active,62,,,=,0.621,1.064,-24.5,-98.5,2.99,14,-99.7,-22,-30.9,-36.3,-72.9,,-92,,-97.3,-99.7
101,24800242,16191911,CCN1C(=C(C=N1)CN2CCCC(C2)CNC(=O)C3=CC=C(C=C3)F)C,Active,70,,,=,0.106,1.034,0,-97,4,14,-98.5,-42,-90.7,-93.1,,-96,,-97.7,-98.5,-97.9
102,22404611,15944991,CN1CCN(CC1)CC(COCCOC2=CC=C(C=C2)Br)O.Cl,Active,63,,,=,0.542,1.161,6,-100.1,1.49,14,-98.1,-5.9,-4.5,-39.4,,-61.2,,-80.2,-93.2,-98.1
103,17504969,2945017,C1C(OC2=CC=CC=C2O1)CNC(=O)C3=CC=C(C=C3)NC(=O)C(C4=CC=CC=C4)C5=CC=CC=C5,Active,57,,,=,1.881,1.1,-21.5,-100,4,13,-99.2,-13.3,-17,-28.3,-30,,-37.7,,-99.1,-99.2
104,24800205,16191874,CCOC1=CC=C(C=C1)CN2CCN(CC2CCO)CC3=CC4=C(C(=CC=C4)OC)OC3,Active,65,,,=,0.303,1.214,0,-100,0.73,14,-100.6,-30.8,-53.3,-48.1,,-54.8,,-76.2,-89,-100.6
105,49820795,18083820,CC(C(=O)NC1=NC(=CS1)C2=CC=CC=N2)OC3=CC=C(C=C3)Br,Active,60,,,=,0.909,1.069,14.5,-99.2,3.79,11,-99.7,2.6,20.1,11.1,-22.8,,-83.7,,-99.7,-96.7
106,24799196,16190867,CCCN1C(=C(C=N1)CN2CCCC(C2)C(=O)C3=CC(=CC=C3)OC(C)C)C,Active,70,,,<,0.1,,,,,14,-98.2,-92.1,-97.8,-94.3,,-95.5,,-98.2,-98,-98.2
107,14726926,3229312,CC(C)(C)C1=CC=C(C=C1)CN(CC2=CC=CC=C2)C(C3=CC=CC=N3)C4=NN=NN4C(C)(C)C,Active,58,,,=,1.763,1.06,-7.9,-103.4,4,14,-100.6,-3.2,-8.9,-13.5,,-9.9,,-45.3,-96.7,-100.6
108,24782423,3179249,CC(C)(C)NC(=O)C(C1=CC=NC=C1)N(CC2=CC=C(C=C2)OC)C(=O)C3=CC=C(N3)C4=CC=CC=C4,Active,62,,,=,0.706,1.088,1.9,-99.9,2.02,14,-98.7,0.7,-7.5,-17.5,,-58.7,,-80,-96.3,-98.7
109,49718848,24790460,CN(CCC1=CC=CC=N1)C2CCCN(C2)S(=O)(=O)C3=CC(=C(C=C3)F)Cl,Active,59,,,=,1.195,1.09,10.9,-100,2.61,12,-96.6,,13.6,0.6,,-15.9,,-65.3,-91.7,-96.6
110,14745953,4993768,CC1=C(C(NC(=S)N1)C2=CN(N=C2C3=CC=C(C=C3)Cl)C4=CC=CC=C4)C(=O)C5=CC=CC=C5,Active,56,,,=,2.325,1.08,-22.5,-100,3.75,14,-100.4,-13.7,-28.2,-18.9,,-31.7,,-36.5,-78.5,-100.4
111,24814844,4226016,CC1=C(C(=CC=C1)C)NC(=S)NCC2CCN(C2)C3=CC=C(C=C3)OC,Active,56,,,=,2.756,1.059,-5.8,-100,4,14,-99.2,-2.6,-4.5,-2.9,,-14.2,,-15.2,-60.2,-99.2
112,3713078,2998271,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(C2=CN=CC=C2)N3CCN(CC3)CCO,Active,63,,,=,0.488,1.089,-15.8,-100,4,14,-99.9,-27.1,-4.9,-40.4,,-89,,-97.2,-99.9,-99.3
113,24800802,16192471,CCCN1C(=C(C=N1)CN2CCCC(C2)C(=O)C3=CC(=CC=C3)OC)C,Active,70,,,<,0.1,,,,,14,-100,-97.3,-97.9,-98,-98.3,,-99,,-98.6,-100
114,47195893,23723173,CCC1=C2C(=CC=C1)C(CC3=CC=CC=C3S2)N4CCNCC4.CS(=O)(=O)O,Active,54,,,=,3.993,1.065,17.1,-100,4,13,-88.3,16.9,14.2,21.9,,18.7,,8.5,-7.4,-88.3
115,49732432,24793139,CC1=C(SN=N1)C(=O)NC2CCCC3=C2C=NN3C4=CC=C(C=C4)C(C)(C)C,Active,57,,,=,1.984,1.078,13.3,-105.3,4,11,-98.7,,7.8,10.3,,14.2,,-16.8,-95,-98.7
116,24785252,16188764,C1CCN(CC1)CC(COC2=CC=C(C=C2)CNCCC3=CC=C(C=C3)C(F)(F)F)O,Active,59,,,=,1.265,1.196,-11.8,-100,1.91,14,-100.6,-6.5,-11,-31,,-41.4,,-49.9,-100.5,-100.6
117,861194,662451,CCCCCCOC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)C,Active,56,,,=,2.572,1.097,-19.4,-100,2.51,12,-98,-17.7,-19.9,-21.9,,-19.5,,-44,-61.2,-98
118,17504637,5719799,C1C(OC2=CC=CC=C2O1)C(=O)N/N=C\C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-],Active,62,,,=,0.62,1.054,8.3,-98.8,3.74,13,-98.5,12.7,-3.8,-5.7,-63.7,,-95.7,,-98.3,-98.5
119,22400732,5183241,CC1=C(C(C(=C(O1)N)C#N)C2=CN=CC=C2)N3N=C(N=N3)[N+](=O)[O-],Active,67,,,=,0.209,1.132,0,-88.6,1.53,13,-97.3,-17.2,-48,-66.5,,-75,,-78.5,-84.6,-97.3
120,56317789,24980059,CCC1CCC2=C(C1)C=C(S2)C(=O)NC3CCN(CC3)CC4=CC=CC=C4,Active,63,,,=,0.48,1.058,0,-100,1.15,12,-89.4,-10.4,-27.9,-44.4,,-65.8,,-76.8,-89.4,
121,4250326,3244155,CCN(CCNC(=O)C1CCCN(C1)CC2=C(OC(=N2)C3=CC=C(C=C3)OC)C)C4=CC=CC=C4,Active,70,,,<,0.1,,0,-103.2,0.5,13,-100.9,-87.9,-82.3,-90.8,,-97.8,,-97.9,-98.7,-100.9
122,24786498,16189219,CCN1CCN(CC1)CC(=O)N2CCCC(C2)C(=O)C3=CC=C(C=C3)OC4=CC=CC=C4,Active,63,,,=,0.478,1.071,-11.6,-99.2,3.34,14,-100.6,-9.6,-19.1,-38.2,,-87,,-96.8,-97.7,-100.6
123,847731,650140,C1CN(CCN1C2=NC3=CC=CC=C3S2)C(C4=CN=CC=C4)C5=NN=NN5CCC6=CC=CC=C6,Active,66,,,=,0.244,1.037,0,-97.9,3.75,13,-101,4.1,-30.4,-82.3,-92.9,,-96.7,,-99.5,-101
124,49826920,24819475,CC(CCC=C(C)C)CN1CCC(CC1)N2C(=CC=N2)NC(=O)C3=CC4=C(C=C3)OCO4,Active,70,,,<,0.1,,0,-100,0.67,13,-97,-59.6,-55.5,-71.5,-81.9,,-90.4,,-92.6,-97
125,47194271,606093,COC1=C(C=C2C(NCCC2=C1)C3=CC=C(C=C3)Br)OC,Inactive,0,,,>,60,,17.4,-100,0.5,13,21.1,9.5,21.1,6.8,7.6,,0.6,,2.8,-4.7
126,47197776,23723842,CCOC1=CC=CC=C1CN2CCCC(C2)CNC(=O)CC3=CC=C(C=C3)OC,Active,59,,,=,1.327,1.225,-25,-100,1.62,13,-96.5,-28.4,-39.5,-28.7,,-46.1,,-58.9,-94,-96.5
127,846178,648560,CCC(C1=NN=NN1CCC2=CC=CC=C2)N(CC3=CC=CO3)CC4=CC5=C(C=CC(=C5NC4=O)C)C,Active,59,,,=,1.408,1.227,-11,-100,1.1,13,-81.8,-15,-22.8,-25.1,,-42.1,,-60.1,-73.5,-81.8
128,14722339,3216836,CCC(C1=NN=NN1C(C)(C)C)N(CC2=CC=CS2)CC3=CC4=C(C=C(C(=C4)C)C)N5C3=NN=N5,Active,60,,,=,1.02,1.139,-9.9,-102.4,1.61,14,-96.6,-9.1,-22,-20.5,-48,,-67.8,,-90.4,-96.6
129,49826155,24819184,CC(C)CC1=CC=C(C=C1)CN2CCCC(C2)NC(=O)CCN3C=NN=N3,Active,70,,,<,0.1,,0,-95.9,1.72,12,-95.1,-52.3,-73.1,-91.3,,-92.8,,-95.1,-95.1,
130,49646152,2865152,C1C(N(N=C1C2=CC=CC=C2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4O,Active,58,,,=,1.454,1.146,13.5,-100,1.5,13,-96,10.2,11.2,3.7,,-28.9,,-38.6,-69.8,-96
131,49676254,4077979,CCOC(=O)C1=C(OC2=C1C=C(C=C2)OCC(CNCCN(C)C)O)C3=CC=CC=C3,Active,57,,,=,1.789,1.056,0,-100,4,14,-97.1,-7.6,0.3,9.8,,0.9,,-40,-88.1,-97.1
132,17409946,6053618,C1CC/C(=N\OCC2=CC(=CC=C2)F)/C(C1)C3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],Active,63,,,=,0.518,1.11,3.5,-103.3,1.71,14,-100.3,-0.8,-16.4,-35,,-67.5,,-92.5,-98.5,-100.3
133,22401989,5045172,CCN1C=C(C(=N1)C(=O)N2C(CC(=N2)C3=CC4=CC=CC=C4C=C3)C5=CC=CC=C5O)Cl,Active,58,,,=,1.658,1.071,-17.1,-100,2.72,13,-100.3,-10.7,-19.2,-23.2,,-29.4,,-53.8,-88.3,-100.3
134,4249747,3243656,COC1=CC=C(C=C1)N2CCN(CC2)C(CNS(=O)(=O)C3=C(C=CC(=C3)F)F)C4=CN=CC=C4,Active,67,,,=,0.206,1.026,0,-96.9,4,12,-98.7,,-41.7,-93.5,-92.6,,-96.1,,-97.3,-98.7
135,17508532,5334401,C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)CC(CN3C4=CC=CC=C4C5=CC=CC=C53)O,Active,56,,,=,2.638,1.066,-11.2,-100,3.55,14,-99.7,-13.1,-8.4,-2.9,-21.8,,-22,,-64.2,-99.7
136,22409998,3939561,CCOC(=O)C1=C(SC(=C1C)C)NC(=O)C2=C(NC(=S)NC2C3=CC=CC=C3C(F)(F)F)C,Active,56,,,=,2.404,1.075,-18.4,-100,3.27,14,-100.5,-20,-19.3,-13.8,-22.1,,-33.8,,-71.6,-100.5
137,47200036,23724036,CCC1=CC=C(C=C1)CN2CCCC(C2)CNC(=O)C3=C(C(=CC=C3)OC)OC,Active,70,,,<,0.1,,0,-101.2,0.9,13,-97.4,-51.9,-71.2,-73.8,,-91.4,,-94.6,-97.4,-96.8
138,24814074,5128590,CC(C1=CC=CC=C1)NC(=O)CNC(=S)N(CC2=CC=CC=C2)CC3=CN=CC=C3,Active,61,,,=,0.805,1.08,-14.7,-96.6,2.79,14,-95,-9.4,-21.6,-24.7,-49.9,,-86.1,,-95,-94.8
139,49643067,2877075,CCCC(=O)NC(C1=CC=C(C=C1)N(C)C)C2=C(C3=C(C=CC=N3)C=C2)O,Active,63,,,=,0.48,1.076,0,-100,4,12,-102.2,,5.6,-21.4,,-102.2,,-100.4,-98.7,-98.3
140,49667631,4135073,C1=CC2=C(C=CC(=C2)Br)C=C1OCC(CN3C=CN=C3)O,Active,70,,,<,0.1,,0,-101.2,0.5,13,-100.3,-89.6,-90.8,-94.1,-94.6,,-97.1,,-99,-100.3
141,24826466,16195956,CC1=C2CC(CCC2=NC3=CC=CC=C13)C(C)(C)C.Cl,Active,54,,,=,3.667,1.131,-2,-100,1.45,13,-64.7,-2,-4,-6.2,-15,,-16.7,,-50.4,-64.7
142,24826680,2320414,CCN(CC)P(=O)(C1=C(C=C(C=C1)N(C)C)NC(=O)C2=CC=CO2)NC3=CC=C(C=C3)SC(F)F,Active,57,,,=,1.985,1.067,-7.6,-100,3.07,14,-101.4,-5.1,-12.6,0.9,,-21.8,,-35.9,-80.4,-101.4
143,17504048,3091267,C1=CC=C(C=C1)COC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=C(C=C(C=C2Cl)Cl)Cl,Active,58,,,=,1.651,1.094,-23.3,-100,3.19,14,-100.3,-16.7,-25.8,-23.2,,-37.8,,-54.6,-95.6,-100.3
144,24829580,16196162,CC1CC(C[N+](=C2CC(CC(=C2)N3CCCC3)(C)C)C1)C.[I-],Active,68,,,=,0.159,1.043,0,-102.8,2.4,14,-101.9,-28.6,-58.7,-97.3,-101.3,,-101.9,,-100.9,-101.2
145,864979,666227,CC1=C2C(=NC(=N1)N3CCN(CC3)CC4=CC=CC=C4)CC(CC2=O)C5=CC(=C(C=C5)OC)OC,Active,57,,,=,1.854,1.037,10.2,-100,2.75,14,-96.7,13.4,5.9,11.5,-0.9,,-28.1,,-77.3,-96.7
146,24831917,4433033,CC(COC)N1C(=O)C2=CC=CC=C2N=C1SCC3=CC(=C(C=C3)OC)F,Active,57,,,=,2.168,1.085,-21.6,-100,2.45,12,-102.5,-23,-18.5,-22,,-31.2,,-46.2,-73.8,-102.5
147,24782422,3179625,CC1=CC=C(C=C1)N(C(C2=CC=CO2)C(=O)NCCC(C)C)C(=O)C3=C(C(=NS3)C(=O)N)N,Active,60,,,=,1.097,1.196,-11.5,-84.6,1.91,14,-85.2,-12.8,-18.6,-11.4,-39.7,,-59.5,,-70.2,-85.2
148,24811821,9661729,CC1=CC=C(C=C1)NC(C)C(=O)N/N=C/C2=CC=C(S2)[N+](=O)[O-],Active,63,,,=,0.494,1.083,-21.9,-101.1,2.56,14,-100.6,-24.9,-25.5,-51.1,-78.3,,-99.6,,-100.6,-99.3
149,16953214,4112048,C1CC(CN(C1)S(=O)(=O)C2=CC=CC(=C2)[N+](=O)[O-])C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Active,68,,,=,0.173,1.067,0,-103.8,1.44,14,-101.4,-36.9,-50.9,-78,-97.4,,-101.3,,-101.4,-99.5
150,24783747,2854948,CN(C)C1=CC=C(C=C1)C2C3=C(C4=C(CC3)C=C(C=C4)OC)NC(=S)N2,Active,56,,,=,2.622,1.06,-8.9,-100,4,14,-101.3,-5.9,-3.8,-9.2,-17.4,,-17.7,,-65.6,-101.3
151,49675632,3386722,CN1CCN(CC1)C(C2=CC=C(C=C2)C(F)(F)F)C3=CC(=C4C=CC=NC4=C3O)Cl,Active,59,,,=,1.316,1.08,-3.1,-100,3.08,13,-97.9,-0.5,0.9,-12.4,-17.9,,-59.1,,-97.9,-94.2
152,17408220,3190940,CC1=CC=C(O1)C(C(=O)NC2CCCCC2)N(C3=CC=CC=C3)C(=O)CC4=CNC5=CC=CC=C54,Active,58,,,=,1.596,1.102,25,-100,2.15,12,-99.7,,35.6,21.6,5.3,,-25.5,,-73.3,-99.7
153,17416077,2892066,CC1=CC(=CC(=C1)OCC(CN2CCC(CC2)CN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)O)C.Cl,Active,57,,,=,1.816,1.086,-21,-100,4,14,-98.6,-10.8,-17.9,-26.1,-33.5,,-42.2,,-95.6,-98.6
154,17515271,12005980,CCN(CC(CON=C1C2=CC=CC=C2C3=CC=CC=C31)O)S(=O)(=O)C4=CC=C(C=C4)C,Active,58,,,=,1.675,1.074,-5.6,-100,2.85,13,-100.7,-4.7,-10.4,0.2,,-24.6,,-44.1,-89.1,-100.7
155,14721956,2874606,C1CC(OC1)CNCC(CN2C3=C(C=C(C=C3)Br)C4=C2C=CC(=C4)Br)O,Active,63,,,=,0.533,1.083,0,-102.8,1.74,13,-100.5,1.8,-16.2,-41.5,-62.1,,-88.7,,-99.5,-100.5
156,24800435,16192104,C1CC2(CCCN(C2)CC3=NC(=NO3)COC4=CC=CC=C4)CN(C1)CC5=CC=CC=C5,Active,65,,,=,0.285,1.147,0,-109.7,0.92,14,-100.9,-33.4,-44.3,-56.5,-82.7,,-89.6,,-100.6,-100.9
157,17407633,2921524,COC1=CC=C(C=C1)CNCCC(C2=CC=CC=C2)C3=CC4=C(C=C3)OCO4.Cl,Active,55,,,=,3.265,1.066,-19.6,-100,4,14,-99,-15.5,-14.3,-22.2,-20.1,,-31.2,,-50,-99
158,17514972,12005925,CN(C)C1=CC=C(C=C1)C2N(CCS2)C(=O)C3=CC=C(C=C3)[N+](=O)[O-],Active,61,,,=,0.874,1.128,-21.7,-100,2.21,14,-100.9,-25.9,-20.9,-31.1,,-59.7,,-80.4,-96.6,-100.9
159,49820604,6156842,C1CC(OC1)CNC(=O)C2=NC(=C3C(=C2)C4=CC=CC=C4N3)C5=CC(=CC=C5)Br,Active,61,,,=,0.882,1.252,-25,-104.5,1.31,14,-99.1,-33.7,-28.2,-44.8,,-67.1,,-75.8,-91.3,-99.1
160,26667457,645989,CCC1C(=O)N(C2=C(O1)C=CC(=C2)C)CC(=O)N(CC3=CN=CC=C3)CC4=CC=C(O4)C,Active,68,,,=,0.166,1.107,0,-94.5,4,12,-94.3,12.9,-73,-89.9,,-93,,-93.8,-94.3,
161,24797580,2952312,CC1=CC=CC=C1OCC(CN2C3=CC=CC=C3N(C2=N)CC4=CC=CC=C4)O.Cl,Active,56,,,=,2.755,1.057,-6.2,-100,4,14,-99,-8.6,-8.6,-1.3,,-5.8,,-17.5,-59.9,-99
162,24817175,1486985,C1COCCN1C(=O)C2=C(SN=N2)S(=O)C3=CC=C(C=C3)Cl,Active,57,,,=,1.849,1.084,-3.7,-105.3,4,12,-101.1,-0.9,-4.9,-12.3,-2.8,,-31.6,,-97.8,-101.1
163,17415844,2888373,CC1CCC2=C(C1)SC(=N2)NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCCC5=CC=CC=C54,Active,58,,,=,1.42,1.102,-9.1,-100.2,2.59,14,-95.3,-12.5,-4.3,-12.3,,-29.6,,-56.8,-95.3,-94.4
164,24823714,4095323,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2)SC3=CC=C(C=C3)F)[N+](=O)[O-],Active,61,,,=,0.879,1.075,10.4,-104.5,4,12,-103,-1.1,7.2,25.2,-28.9,,-96.1,,-102.4,-103
165,17504455,2846431,CC(CCC1=CC=CC=C1)N2CCN(CC2)CC3=CC=CC=C3,Active,70,,,=,0.101,1.027,0,-99.3,1.3,14,-98.1,-49.7,-69.6,-83.6,,-94,,-97.4,-97.9,-98.1
166,14736452,2951909,COC1=CC=CC(=C1)NC2=NC3=CC=CC=C3C(=N2)NCC4CCCO4.Cl,Active,70,,,<,0.1,,0,-100,0.66,14,-102.2,-70.3,-69,-70.6,,-87.8,,-93.6,-100.6,-102.2
167,24811600,4917700,C1CCN(C(C1)C2=CN=CC=C2)C(=O)C3=NN4C(=CC(=NC4=C3)C5=CC=C(C=C5)F)C(F)(F)F,Active,68,,,=,0.164,1.019,0,-95.7,2.87,13,-97,-19.1,-57.8,-89.3,-93.7,,-94.2,,-95.4,-97
168,861998,663230,CCC(CC)COC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC,Active,54,,,=,4.05,1.15,-10.3,-100,4,11,-96.5,-4.9,-9.5,-11.8,,-5.6,,-37.8,-24.2,-96.5
169,24780185,16187255,CC(C1=NC=NC=C1)N(C)CC2=CN(N=C2C3=CC(=CC=C3)F)C4=CC=C(C=C4)OC,Active,55,,,=,2.989,1.056,-6.8,-100,4,14,-95.1,-9.5,-4.4,0.4,,-15.1,,-13,-53.8,-95.1
170,17509713,12004950,COC1=CC=C(C=C1)C(C(=O)NC2CCCCC2)N(C3=CC=C(C=C3)Cl)C(=O)CCl,Active,68,,,=,0.166,1.029,0,-95.4,2.4,12,-97,-22.1,-56.3,,-93.8,,-97,,-93.6,-94.2
171,17507051,3129563,C1=CC=C2C(=C1)C3=CC=CC=C3N2CC(COCC(C(C(C(F)F)(F)F)(F)F)(F)F)O,Active,58,,,=,1.711,1.094,-14.3,-100,4,14,-100,-8,-15.7,-13.5,-25.2,,-42,,-99.2,-100
172,51090156,16829983,COC1=CC=CC=C1CNC(=O)C(=O)NCC2CCCN2S(=O)(=O)C3=CC=CS3,Active,56,,,=,2.545,1.16,14,-100,1.29,13,-70,16.4,7.6,5.5,-7.7,,-20,,-52.9,-70
173,24780339,16187353,CC1=CC=C(C=C1)CN2CCN(CC2CCO)CC3=C(C=C(C=C3)N4C=CC=N4)C,Active,62,,,=,0.651,1.08,-13.4,-97.9,2.25,14,-99.1,-12.3,-23.2,-29.5,,-67.6,,-86.5,-93.9,-99.1
174,17504016,2922056,CCC(=O)NC(C1=CC=C(C=C1)C)C2=CC(=C3C=CC=NC3=C2O)[N+](=O)[O-],Active,59,,,=,1.337,1.065,4.7,-100,3.79,13,-101.1,14.9,-2.1,1.8,-10.3,,-56.9,,-101.1,-99.8
175,49667543,16400218,CCOC1=CC=CC=C1C2C3=C(C[C@@H]4N2C(=O)CN(C4=O)C5CCN(CC5)CC6=CC=CC=C6)C7=CC=CC=C7N3,Active,57,,,=,2.155,1.068,-9.9,-100,2.53,14,-101.4,-10.9,-5,-11.8,-20,,-35.6,,-69.3,-101.4
176,17407730,3223978,CC1=CC2=C(C=C1)N=C(N2)C3CCCN(C3)C(=S)NC4=CC=CC=C4C,Active,64,,,=,0.443,1.057,-5.5,-88.5,2.48,14,-90.1,-7.9,-14.5,-39.3,-71.4,,-83.1,,-87.1,-90.1
177,49724842,16244852,C/C=C/C1=CC(=C(C=C1)OCC(CN(C)CC2=CC=C(C=C2)SC)O)OC.C(=O)(C(=O)O)O,Active,64,,,=,0.388,1.127,0,-100,0.85,13,-97.4,-32.1,-32.4,-48.3,,-57.4,,-78.5,-91.1,-97.4
178,49672798,4779498,CC(C1=CC=C(C=C1)F)NC2=NC(=NC3=CC=CC=C32)C4=CN=CC=C4,Active,62,,,=,0.658,1.423,-25,-100,1.32,13,-102.4,-44,-30,-45.2,,-68.1,,-77.5,-97.9,-102.4
179,855892,5284439,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3.C(=C\C(=O)O)\C(=O)O,Active,55,,,=,3.135,1.162,-25,-100,1.96,11,-100.2,-26.1,-31.7,,,-29.8,,-41.5,-53.3,-100.2
180,862431,663656,CC(CN1CCN(CC1)C)COC2=CC=CC3=CC=CC=C32,Active,65,,,=,0.284,1.152,0,-98,1.23,12,-94.4,-17.8,-40.3,-60.6,,-71.9,,-88,-94.4,
181,14724632,2864129,CC1=C(C(C2=C(N1)CC(CC2=O)C3=CC=C(C=C3)Cl)C4=CN=CC=C4)C#N,Active,56,,,=,2.257,1.047,18.2,-100,4,14,-91.8,15.4,27.5,15.1,,10,,0.2,-76.5,-91.8
182,47194378,3114342,C1CN(CCN1CC2=CC=CC=C2)CC(COC3=CC=C(C=C3)OCC(CN4CCN(CC4)CC5=CC=CC=C5)O)O,Active,61,,,=,0.789,1.135,-14.3,-76.9,3.58,14,-85,-14.2,-20.5,-11.3,,-49.8,,-67,-72,-85
183,24798337,16190008,COCC1=C(C=CC(=C1)CN2CCCC(C2)CNC(=O)C3=CC=C(C=C3)F)OC,Active,69,,,=,0.118,1.038,0,-100.2,1.21,14,-98.2,-46,-63.1,-80.5,-91.5,,-97,,-97.9,-98.2
184,7977502,2837886,CCN(CC)C(=O)C1CCCN(C1)CC2=CC=C(C=C2)N(C)C,Active,65,,,=,0.296,1.078,0,-100.1,1.03,11,-95.6,-25.8,,-55.5,-72.2,,-86.4,,-90.8,-95.6
185,17410158,9633249,C1CC/C(=N/OCC2=CC=C(C=C2)F)/C(C1)C3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],Active,63,,,=,0.492,1.063,0,-103.3,1.68,14,-100.4,-5.6,-18.8,-40.9,,-70.6,,-91.1,-100,-100.4
186,24797946,16189866,CC1=C(SC=C1)C(=O)C2CCCN(C2)CC3=CC=C(C=C3)N4C=CC=N4,Active,67,,,=,0.201,1.087,0,-98.6,1.69,13,-99.5,-18.3,-61.9,-69.1,-88.5,,-96.3,,-97.2,-99.5
187,49822633,24818377,CC1=C(C=CC(=C1)S(=O)(=O)NC2=CC=C(C=C2)C(=O)NCC(C3=CC=CO3)N4CCCC4)F,Active,62,,,=,0.578,1.172,0,-107.1,0.94,13,-96.2,-17.3,-29.9,-41.6,-59,,-78.5,,-87.2,-96.2
188,24801843,3138753,CCCCC(=O)NC(C1=CC=CO1)C2=CC(=C3C=CC=NC3=C2O)Cl,Active,57,,,=,1.909,1.094,-10.4,-100,4,12,-100.3,-15.7,0.5,-22.4,,-17.6,,-32.2,-100.3,-97.7
189,4244569,3239147,CC1=CC(=CC=C1)C2=NN3C(C(=C(NC3=N2)C)C(=O)N)C4=CN=CC=C4,Inactive,0,,,>,60,,,,,9,15.2,5.2,2.2,-9.2,,-15,,5,15.2,-9.3
190,24816221,4321036,CC1CCN(CC1)C(C2=CC=CC=C2)C3=C(SC(=C3C)C)NC(=O)C4=CC=CO4,Active,60,,,=,1.094,1.211,-15.8,-100,1.51,14,-100.5,-10.4,-28.7,-33.3,-44.5,,-63.5,,-86.5,-100.5
191,24818255,2872283,CC1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)CN3C=NC(=N3)[N+](=O)[O-],Active,70,,,<,0.1,,0,-107.4,0.71,14,-101.1,-73.2,-62.7,-90.2,,-100.3,,-100.4,-100.6,-101.1
192,860948,662228,C1CCC(CC1)OC(=O)C(C#N)C2=NC3=CC=CC=C3N=C2N4CCCCC4,Active,60,,,=,1.007,1.13,0,-100,1.07,12,-78.4,1.3,-11.3,-32.4,,-51.3,,-52.2,-78.4,
193,14721201,3201753,C1CCC(C1)N2C(=NN=N2)C(C3=CC=CC=C3)N4CCN(CC4)C5=NC6=CC=CC=C6S5,Active,57,,,=,1.948,1.069,-17.1,-100,2.73,14,-98.7,-16.8,-11.6,-20,-29.1,,-41.1,,-81.7,-98.7
